epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,208.147,0.41375,0.34754,0.96863,0.59032,0.46725,0.52026,0.33037,1.57156,2.67844,2.12846,0.000395925,0.000395925,0.000395925
161,209.393,0.39484,0.37755,0.96554,0.49785,0.49822,0.51362,0.31966,1.56562,2.56589,2.13839,0.000393176,0.000393176,0.000393176
162,210.692,0.40566,0.36949,0.98501,0.57199,0.49721,0.53195,0.32661,1.55874,2.51355,2.1409,0.000390427,0.000390427,0.000390427
163,211.927,0.39204,0.35231,0.96685,0.72525,0.48016,0.54983,0.32831,1.53518,2.47715,2.14087,0.000387678,0.000387678,0.000387678
164,213.165,0.45369,0.40309,1.01224,0.63457,0.519,0.55703,0.33582,1.55265,2.5536,2.13612,0.000384929,0.000384929,0.000384929
165,214.441,0.41717,0.45101,0.99002,0.62169,0.4901,0.54792,0.32853,1.58735,2.61536,2.19876,0.00038218,0.00038218,0.00038218
166,215.673,0.40863,0.3505,0.97746,0.79406,0.42689,0.51922,0.3018,1.5938,2.62722,2.2314,0.000379431,0.000379431,0.000379431
167,216.928,0.37889,0.34818,0.96788,0.61643,0.48267,0.5486,0.31482,1.59864,2.55334,2.18187,0.000376683,0.000376683,0.000376683
168,218.177,0.40662,0.38635,0.96862,0.76723,0.44625,0.55897,0.32721,1.54807,2.5486,2.07541,0.000373934,0.000373934,0.000373934
169,219.422,0.40567,0.3626,0.99033,0.80964,0.44223,0.5637,0.35508,1.48269,2.50329,1.99813,0.000371185,0.000371185,0.000371185
170,220.682,0.40697,0.32458,0.96238,0.63576,0.5435,0.59485,0.36126,1.48071,2.46623,1.99047,0.000368436,0.000368436,0.000368436
171,221.949,0.38384,0.34209,0.9418,0.62051,0.54026,0.55302,0.33475,1.51751,2.47336,2.03198,0.000365687,0.000365687,0.000365687
172,223.17,0.39182,0.3318,0.98433,0.59159,0.55903,0.53286,0.3218,1.55906,2.56339,2.11373,0.000362938,0.000362938,0.000362938
173,224.433,0.40413,0.3486,0.97912,0.59529,0.52694,0.52812,0.31532,1.61663,2.75453,2.17207,0.000360189,0.000360189,0.000360189
174,225.689,0.37637,0.32228,0.95671,0.56502,0.508,0.52163,0.31631,1.6372,2.79233,2.15068,0.00035744,0.00035744,0.00035744
175,226.921,0.38709,0.33114,0.9542,0.54621,0.51333,0.50736,0.2995,1.6267,2.75596,2.15916,0.000354691,0.000354691,0.000354691
176,228.168,0.37838,0.33196,0.93919,0.50701,0.52845,0.49711,0.2963,1.6341,2.79549,2.18901,0.000351942,0.000351942,0.000351942
177,229.449,0.41419,0.36707,0.99075,0.50106,0.49238,0.50899,0.30103,1.64952,2.62359,2.26535,0.000349194,0.000349194,0.000349194
178,230.704,0.39285,0.41014,0.96499,0.55563,0.48953,0.49209,0.30187,1.62129,2.66895,2.24408,0.000346445,0.000346445,0.000346445
